lat,lon,temp_c,basement
37.252,-121.8208,247.7,
39.8842,-118.8005,247.7,
35.9986,-116.8786,247.7,
40.8243,-122.7818,247.7,
42.203,-117.8396,247.6,
41.9523,-120.8598,247.5,
39.5082,-122.9191,247.4,
43.2684,-122.6445,247.4,
42.203,-122.2326,247.4,
44.8352,-110.7008,247.4,
39.6335,-122.9191,247.4,
42.5164,-122.0954,247.4,
38.2548,-116.604,247.3,
41.639,-115.7803,247.3,
39.0695,-113.4465,247.3,
39.2575,-112.7601,247.3,
42.7671,-122.6445,247.3,
37.3774,-122.3699,247.3,
48.9088,-121.5462,247.3,
37.6907,-118.9378,247.3,
35.5599,-116.1922,247.3,
36.8134,-115.9176,247.3,
44.0205,-111.1127,247.2,
39.8215,-123.6055,247.1,
36.124,-116.8786,247.1,
46.6526,-123.7428,247.1,
43.0177,-114.4075,247.1,
43.6444,-122.3699,246.9,
43.1431,-120.7225,246.9,
43.8951,-113.5838,246.9,
43.8325,-110.7008,246.9,
41.5136,-119.3497,246.8,
39.5082,-123.4682,246.8,
40.8243,-119.487,246.8,
39.5082,-112.7601,246.8,
40.1349,-123.4682,246.7,
38.7561,-123.1936,246.7,
42.7671,-120.1734,246.7,
39.1948,-123.6055,246.6,
37.1894,-121.4089,246.6,
42.0777,-120.3107,246.6,
38.8815,-122.3699,246.5,
40.6363,-122.3699,246.5,
41.7643,-120.1734,246.5,
37.6907,-115.0939,246.4,
42.4537,-121.9581,246.4,
44.7099,-121.6835,246.3,
40.1349,-122.9191,246.3,
39.1948,-122.7818,246.3,
41.3883,-118.526,246.3,
33.8678,-115.7803,246.3,
43.1431,-114.9566,246.3,
43.8325,-112.8974,246.3,
41.639,-122.3699,246.2,
43.8951,-112.7601,246.2,
43.3311,-112.0737,246.2,
38.7561,-122.0954,246.2,
41.3883,-118.8005,246.1,
47.4047,-122.9191,246.1,
41.5763,-121.1344,246.1,
44.3965,-111.3872,246.1,
41.639,-120.1734,246.0,
40.0722,-123.88,245.9,
42.579,-120.3107,245.9,
39.8215,-120.0361,245.9,
40.7616,-117.4277,245.9,
40.3856,-120.7225,245.8,
38.6935,-106.0332,245.8,
38.3174,-122.7818,245.7,
40.6989,-122.7818,245.7,
37.1894,-121.6835,245.7,
43.0177,-120.7225,245.7,
36.124,-117.7023,245.7,
43.8951,-112.4855,245.7,
44.0831,-111.5245,245.7,
33.9305,-106.8569,245.7,
48.7208,-121.6835,245.7,
33.9305,-107.6806,245.7,
42.6417,-124.0173,245.6,
39.0068,-123.4682,245.6,
41.2003,-118.9378,245.6,
43.7071,-111.5245,245.6,
41.8897,-118.526,245.5,
44.8352,-110.9754,245.5,
39.8842,-123.1936,245.4,
38.2548,-119.0751,245.4,
34.7452,-116.3294,245.4,
42.9551,-114.2702,245.4,
37.7534,-117.9768,245.4,
44.2712,-112.2109,245.4,
41.3883,-121.2717,245.3,
42.579,-118.9378,245.3,
43.5818,-116.4667,245.3,
44.7725,-110.5635,245.3,
33.8678,-107.2687,245.3,
43.0804,-123.88,245.3,
40.6989,-121.6835,245.3,
47.342,-123.3309,245.2,
38.1294,-116.0549,245.2,
39.2575,-113.0346,245.2,
44.8979,-110.289,245.2,
43.0804,-115.0939,245.1,
34.6199,-115.7803,245.1,
42.1404,-122.0954,245.0,
39.1322,-106.9942,244.9,
39.0695,-123.6055,244.9,
41.639,-122.9191,244.9,
43.2058,-120.8598,244.9,
40.7616,-121.2717,244.8,
38.3174,-119.487,244.8,
43.3938,-116.8786,244.8,
41.639,-114.1329,244.8,
37.252,-118.526,244.8,
38.6935,-123.0563,244.7,
42.015,-122.6445,244.7,
41.5763,-120.3107,244.7,
42.6417,-117.7023,244.7,
43.7698,-113.5838,244.7,
44.0205,-112.4855,244.7,
35.6853,-114.2702,244.7,
40.6363,-123.4682,244.6,
39.1948,-122.5072,244.6,
42.579,-123.6055,244.6,
41.451,-121.1344,244.6,
43.8325,-113.4465,244.6,
44.0205,-112.2109,244.5,
43.9578,-111.25,244.5,
41.451,-123.88,244.4,
